,CLASS,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
,CLM,0.0061,-0.0026,-0.0101,0.0364,-0.0142,-0.0038,-0.003,-0.0104,-0.0224,-0.0026
,CLM,0.0068,0.0027,-0.0083,0.0244,-0.0163,-0.0026,-0.0048,-0.0025,-0.0303,-0.032
,CLM,0.006,0.003,-0.0083,0.0203,-0.018,-0.0064,0.0014,-0.0099,-0.0358,0.0013
,CLM,0.0062,0.0064,-0.0061,0.0115,-0.0174,-0.01,-0.0038,-0.013,-0.0411,-0.0008
,CLM,-0.0047,-0.0006,-0.0098,0.027,-0.0097,-0.0029,0.0032,-0.0047,-0.0243,-0.0229
,CLM,0.0035,0.001,-0.0089,0.0262,-0.0151,-0.0076,-0.0039,-0.0093,-0.0084,0.0195
,CLM,0.0072,0.0024,-0.009,0.0195,-0.0197,-0.0038,-0.0046,-0.0056,-0.009,0.0228
,CLM,0.0055,-0.0073,-0.0118,0.0498,-0.0053,0.0037,-0.0038,-0.0078,-0.008,0.0008
,CLM,0.0084,0.0072,-0.0065,0.0071,-0.021,-0.0093,0.0013,-0.0046,-0.0286,-0.026
,CLM,0.0087,0.0102,-0.005,0.0004,-0.021,-0.0046,-0.003,-0.0104,-0.0137,0.0095
,CLM,0.0005,0.003,-0.008,0.0212,-0.006,0.0015,-0.0013,-0.0021,-0.0127,-0.0092
,CLM,0.0068,-0.0042,-0.0095,0.0383,-0.012,0.0003,0.0035,-0.0064,0.001,0.0162
,CLM,0.0055,-0.0088,-0.013,0.0566,-0.0073,0.0014,-0.0009,-0.0072,-0.0156,-0.0149
,CLM,0.004,0.0006,-0.0095,0.0261,-0.0173,-0.0018,-0.0032,-0.0046,-0.0287,-0.0298
,CLM,0.0052,0.0017,-0.0081,0.0215,-0.0121,-0.0057,0.0002,-0.0065,-0.0173,-0.0265
,CLM,0.0066,-0.0032,-0.0123,0.0378,-0.0096,-0.0069,-0.0005,-0.019,-0.0224,0.0116
,CLM,0.0057,-0.0026,-0.0109,0.0368,-0.0115,-0.0023,-0.0008,-0.0116,-0.0203,-0.0056
,CLM,0.0061,-0.0031,-0.0103,0.0397,-0.012,-0.0043,-0.0006,-0.0041,-0.014,0.0117
,CLM,-0.0001,-0.0032,-0.0102,0.0364,-0.0109,-0.0034,0.0003,-0.0053,-0.0109,-0.0072
,CLM,-0.0049,-0.0023,-0.0088,0.0293,-0.0048,-0.0033,-0.0021,0.0018,0.0018,0.0184
,CLM,-0.0008,-0.0011,-0.0099,0.0308,-0.011,-0.0032,-0.0004,-0.0054,-0.0152,0.0009
,CLM,0.0078,0.0044,-0.0085,0.0167,-0.0239,-0.0058,-0.001,-0.0194,-0.0338,0.0009
,CLM,0.0079,0.0048,-0.0071,0.0148,-0.0237,-0.0064,-0.0045,-0.0174,-0.0297,-0.0116
,CLM,0.0082,0.0066,-0.008,0.0135,-0.0122,-0.0063,0.0029,-0.0119,-0.0283,-0.0159
,CLM,0.0079,0.0075,-0.0075,0.0092,-0.0271,-0.0073,-0.0048,-0.0093,-0.0454,-0.0238
,CLM,-0.0079,-0.0013,-0.007,0.0251,-0.0049,0.0005,-0.0011,-0.0064,-0.0024,0.0124
,CLM,0.0068,-0.0015,-0.0109,0.0341,-0.0169,-0.0027,-0.0007,-0.0025,-0.0171,-0.0127
,CLM,0.0017,0.005,-0.0059,0.0113,-0.0123,-0.0045,0.0004,-0.0077,-0.0273,-0.0165
,CLM,0.008,0.0067,-0.0063,0.009,-0.0201,-0.0069,0.0039,-0.0074,-0.035,-0.0303
,CLM,0.008,0.006,-0.0067,0.013,-0.023,-0.0092,-0.0013,-0.0112,-0.036,-0.0314
